FECHA;SEXO;INSTRUCCION;RANGO EDAD;NUMERO TARJETAHABIENTES;NUMERO TARJETAS;CAPITAL POR VENCER (USD);CAPITAL VENCIDO (USD);CAPITAL NO DEVENGA INTERESES (USD);CAPITAL CONSUMO (USD)
31/1/2024;HOMBRE;NO DISPONIBLE;Entre 50 a 65;13;13;20437,79;1220,1;0;7192,69
31/1/2024;HOMBRE;NO DISPONIBLE;Mayor a 65;4;4;5663,88;0;0;354,93
31/1/2024;HOMBRE;PRIMARIA;Entre 18 a 29;11;11;5123,45;0;0;773,66
31/1/2024;HOMBRE;PRIMARIA;Entre 30 a 39;66;67;26997,86;948,63;103,33;8514,07
31/1/2024;HOMBRE;PRIMARIA;Entre 40 a 49;54;59;33680,82;702,79;1187,47;7257,21
31/1/2024;HOMBRE;PRIMARIA;Entre 50 a 65;76;80;38214,84;2374,59;0;2239,29
31/1/2024;HOMBRE;PRIMARIA;Mayor a 65;18;18;18393,84;1;0;919,02
31/1/2024;HOMBRE;SECUNDARIA;Entre 18 a 29;28;33;15908,29;0;0;2280,03
31/1/2024;HOMBRE;SECUNDARIA;Entre 30 a 39;176;190;157284,78;9856,49;10721,64;16540,43
31/1/2024;HOMBRE;SECUNDARIA;Entre 40 a 49;110;118;108763,92;12713,55;14157,39;14136,09
31/1/2024;HOMBRE;SECUNDARIA;Entre 50 a 65;112;121;102119,32;3413,41;479,82;9533,9
31/1/2024;HOMBRE;SECUNDARIA;Mayor a 65;28;29;16977,17;1638,26;286,73;376,01
31/1/2024;HOMBRE;SUPERIOR;Entre 18 a 29;7734;8406;6013911,9;341721,04;438356,08;1146469,02
31/1/2024;HOMBRE;SUPERIOR;Entre 30 a 39;25910;28478;25532298,18;1460561,6;1769624,8;4063582,13
31/1/2024;HOMBRE;SUPERIOR;Entre 40 a 49;10655;11564;15533084,75;686068,27;1060958,55;1936056,86
31/1/2024;HOMBRE;SUPERIOR;Entre 50 a 65;7227;7701;11213779,57;359295,57;509258,11;1350022,41
31/1/2024;HOMBRE;SUPERIOR;Mayor a 65;2550;2713;3575449,67;44382,12;72071,06;518644,77
31/1/2024;HOMBRE;SUPERIOR;No Definido;1;1;0;0;0;0
31/1/2024;MUJER;BACHILLERATO;Entre 18 a 29;15035;15788;9379975,31;652569,61;724907,7;1805476,08
31/1/2024;MUJER;BACHILLERATO;Entre 30 a 39;16551;17706;13549824,51;937957,29;1040692,73;2124524,77
31/1/2024;MUJER;BACHILLERATO;Entre 40 a 49;10514;11230;10542591,96;536371,49;564223,21;1619659,66
31/1/2024;MUJER;BACHILLERATO;Entre 50 a 65;9508;10070;10241078,74;324762,9;445497,6;1566849,73
31/1/2024;MUJER;BACHILLERATO;Mayor a 65;2370;2481;2537950,71;62388,17;50891,36;367549,17
31/1/2024;MUJER;BASICA;;22598;23759;15840901,39;728257,33;734300,32;2794035,55
31/1/2024;MUJER;ELEMENTAL;Entre 30 a 39;1;1;419,33;0;0;500
31/1/2024;MUJER;ELEMENTAL;Entre 40 a 49;2;2;319,84;0;0;0
31/1/2024;MUJER;ELEMENTAL;Entre 50 a 65;5;6;2109,36;0;0;0
31/1/2024;MUJER;ELEMENTAL;Mayor a 65;5;5;683,72;0;0;0
31/1/2024;MUJER;ESPECIAL;Entre 30 a 39;1;1;2206,78;0;0;480
31/1/2024;MUJER;ESPECIAL;Entre 40 a 49;10;10;6788,42;1939,97;0;171,36
31/1/2024;MUJER;ESPECIAL;Entre 50 a 65;2;2;2805,5;0;0;2504,47
31/1/2024;MUJER;ESPECIAL;Mayor a 65;1;1;0;0;0;0
31/1/2024;MUJER;INICIAL;Entre 18 a 29;181;187;115179,12;7334,43;7698,48;21174,68
31/1/2024;MUJER;INICIAL;Entre 30 a 39;132;136;112678,13;19215,2;13230,85;19762,91
31/1/2024;MUJER;INICIAL;Entre 40 a 49;125;128;94294,02;13034,49;11866,91;23677,38
31/1/2024;MUJER;INICIAL;Entre 50 a 65;171;181;124610,66;2241,56;8053,5;21117,85
31/1/2024;MUJER;INICIAL;Mayor a 65;96;99;55575,43;6481,36;2265,3;8705,84
31/1/2024;MUJER;NINGUNA;Entre 18 a 29;3;3;59,88;154,04;94,33;59,88
31/1/2024;MUJER;NINGUNA;Entre 30 a 39;8;8;1050,76;135,77;0;33,27
31/1/2024;MUJER;NINGUNA;Entre 40 a 49;25;26;12512,06;217,63;9,34;2007,74
31/1/2024;MUJER;NINGUNA;Entre 50 a 65;96;102;38559,25;2042,27;5617,08;9587,2
31/1/2024;MUJER;NINGUNA;Mayor a 65;39;40;21108,83;4403,04;5321,93;2251,99
31/1/2024;MUJER;NO DISPONIBLE;Entre 18 a 29;14;14;8662,94;2559,23;208,6;954,92
31/1/2024;MUJER;NO DISPONIBLE;Entre 30 a 39;23;25;21703,24;0;0;3002,86
31/1/2024;MUJER;NO DISPONIBLE;Entre 40 a 49;13;15;5116,62;1982,19;7292,74;50,9
31/1/2024;MUJER;NO DISPONIBLE;Entre 50 a 65;16;18;38251,9;0;0;2430,63
31/1/2024;MUJER;NO DISPONIBLE;Mayor a 65;4;4;5286,67;0;0;226,7
31/1/2024;MUJER;PRIMARIA;Entre 18 a 29;4;4;0;0;0;0
31/1/2024;MUJER;PRIMARIA;Entre 30 a 39;42;44;13806,54;2778,5;1892,3;3471,16
31/1/2024;MUJER;PRIMARIA;Entre 40 a 49;42;45;17500,63;282,06;1162,93;1309,45
31/1/2024;MUJER;PRIMARIA;Entre 50 a 65;47;47;32876,61;3306,32;1038,7;8141,5
31/1/2024;MUJER;PRIMARIA;Mayor a 65;12;12;8293,78;338,38;0;236,92
31/1/2024;MUJER;SECUNDARIA;Entre 18 a 29;15;15;8199,07;0;0;1320,37
31/1/2024;MUJER;SECUNDARIA;Entre 30 a 39;143;150;97040,38;13068,34;6109,93;15172,2
31/1/2024;MUJER;SECUNDARIA;Entre 40 a 49;88;92;88513,1;6808,69;1919,22;13185,91
31/1/2024;MUJER;SECUNDARIA;Entre 50 a 65;95;100;93399,3;135,05;174,36;13392,67
31/1/2024;MUJER;SECUNDARIA;Mayor a 65;27;28;22262,53;4144,45;2617,61;3281,7
31/1/2024;MUJER;SUPERIOR;Entre 18 a 29;8284;8810;5786451,73;240549,68;261463,75;1194186,7
31/1/2024;MUJER;SUPERIOR;Entre 30 a 39;29036;31336;26926611,65;1156512,76;1363245,29;4562747,89
31/1/2024;MUJER;SUPERIOR;Entre 40 a 49;13241;14103;16355933,81;632861,83;796394,2;2386945,04
31/1/2024;MUJER;SUPERIOR;Entre 50 a 65;8807;9279;10915548,85;228866,34;390108,73;1537842,58
31/1/2024;MUJER;SUPERIOR;Mayor a 65;1891;1997;2378546,57;39954,78;60975,13;350211,35
31/1/2024;MUJER;SUPERIOR;No Definido;3;3;1962,96;0;0;1405,58
31/1/2024;NO DISPONIBLE;NO DISPONIBLE;No Definido;32;33;175401,13;0;0;45183,63
29/2/2024;HOMBRE;BACHILLERATO;Entre 18 a 29;28668;29781;18146073,35;1312317,92;1518234,43;3091125,11
29/2/2024;HOMBRE;BACHILLERATO;Entre 30 a 39;33005;35168;27727672,57;2476347,39;2672936,7;3652274,35
29/2/2024;HOMBRE;BACHILLERATO;Entre 40 a 49;19096;20151;20690292,81;1379378,63;1640409,86;2323522,05
29/2/2024;HOMBRE;BACHILLERATO;Entre 50 a 65;13893;14556;16281326,39;696203,28;818706;1899484,02
29/2/2024;HOMBRE;BACHILLERATO;Mayor a 65;2376;2490;2744933,75;61404,62;54747,81;366167,39
29/2/2024;HOMBRE;BACHILLERATO;No Definido;7;7;4532,5;0;0;895,14
29/2/2024;HOMBRE;BASICA;;35063;36615;25059684,51;1479644,51;1491458,06;3797237,85
29/2/2024;HOMBRE;ELEMENTAL;Entre 18 a 29;1;1;392,65;0;0;166,9
29/2/2024;HOMBRE;ELEMENTAL;Entre 40 a 49;4;4;1998,25;0;0;340,85
29/2/2024;HOMBRE;ELEMENTAL;Entre 50 a 65;2;3;0;0;0;0
29/2/2024;HOMBRE;ELEMENTAL;Mayor a 65;13;13;6305,71;0;0;883,36
29/2/2024;HOMBRE;ESPECIAL;Entre 30 a 39;1;1;670,67;0;0;0
29/2/2024;HOMBRE;ESPECIAL;Entre 40 a 49;1;1;0;0;0;0
29/2/2024;HOMBRE;ESPECIAL;Entre 50 a 65;2;2;1325,13;0;0;126,68
29/2/2024;HOMBRE;INICIAL;Entre 18 a 29;366;369;179721,18;24086,88;20888,98;37797,34
29/2/2024;HOMBRE;INICIAL;Entre 30 a 39;209;213;168948,8;33482,28;19700,57;32836,7
29/2/2024;HOMBRE;INICIAL;Entre 40 a 49;186;189;120828,32;30769,69;30796,06;22609,17
29/2/2024;HOMBRE;INICIAL;Entre 50 a 65;192;199;184240,59;8187;9837,51;17855,32
29/2/2024;HOMBRE;INICIAL;Mayor a 65;134;137;76896,22;179,26;0;9440,8
29/2/2024;HOMBRE;NINGUNA;Entre 18 a 29;8;8;2014,53;0;0;542
29/2/2024;HOMBRE;NINGUNA;Entre 30 a 39;14;16;6217,1;0;0;1086,82
29/2/2024;HOMBRE;NINGUNA;Entre 40 a 49;26;26;16679,63;682,58;1641,35;3208,84
29/2/2024;HOMBRE;NINGUNA;Entre 50 a 65;55;56;24013,75;152,01;195,8;2267,97
29/2/2024;HOMBRE;NINGUNA;Mayor a 65;24;24;11612,08;614,65;0;1310
29/2/2024;HOMBRE;NO DISPONIBLE;Entre 18 a 29;20;21;15744,44;0;0;2158,58
29/2/2024;HOMBRE;NO DISPONIBLE;Entre 30 a 39;27;27;22496,09;1746,32;3474,75;3896,43
29/2/2024;HOMBRE;NO DISPONIBLE;Entre 40 a 49;20;23;31406,4;0;0;1927,63
29/2/2024;HOMBRE;NO DISPONIBLE;Entre 50 a 65;15;15;20735,38;1220,1;0;2187,12
29/2/2024;HOMBRE;NO DISPONIBLE;Mayor a 65;4;4;5575,86;0;0;292,57
29/2/2024;HOMBRE;PRIMARIA;Entre 18 a 29;10;10;4907,04;0;0;1122,99
29/2/2024;HOMBRE;PRIMARIA;Entre 30 a 39;65;66;23892,83;1570,16;89,18;1236,19
29/2/2024;HOMBRE;PRIMARIA;Entre 40 a 49;55;60;42041,98;1215,66;1028,28;12664,12
29/2/2024;HOMBRE;PRIMARIA;Entre 50 a 65;78;82;37121,45;2374,59;0;5893,7
29/2/2024;HOMBRE;PRIMARIA;Mayor a 65;18;18;19715,12;1;0;2341,58
29/2/2024;HOMBRE;SECUNDARIA;Entre 18 a 29;26;28;15006,61;128,4;1904,91;2832,13
29/2/2024;HOMBRE;SECUNDARIA;Entre 30 a 39;175;187;148366,64;11392,99;18813,47;16486,05
29/2/2024;HOMBRE;SECUNDARIA;Entre 40 a 49;112;118;113998,15;12780,32;11430,98;11267,39
29/2/2024;HOMBRE;SECUNDARIA;Entre 50 a 65;115;123;106146,98;3475,63;709,74;15992,25
29/2/2024;HOMBRE;SECUNDARIA;Mayor a 65;28;29;17938,32;1780,85;144,14;2806,48
29/2/2024;HOMBRE;SUPERIOR;Entre 18 a 29;7863;8307;5841491,92;356911,01;423430,91;1047065,92
29/2/2024;HOMBRE;SUPERIOR;Entre 30 a 39;26369;28326;25592829,25;1509052,08;1722465,17;3846797,18
29/2/2024;HOMBRE;SUPERIOR;Entre 40 a 49;10861;11538;15483440,06;735853,82;1177172,83;1944928,65
29/2/2024;HOMBRE;SUPERIOR;Entre 50 a 65;7523;7862;11278309,62;377169,04;531837,58;1359856,99
29/2/2024;HOMBRE;SUPERIOR;Mayor a 65;2605;2734;3610777,43;42895,7;67484,61;500261,49
29/2/2024;HOMBRE;SUPERIOR;No Definido;1;1;0;0;0;0
29/2/2024;MUJER;BACHILLERATO;Entre 18 a 29;16138;16775;9361752,54;696718,17;716259,11;1802076,22
29/2/2024;MUJER;BACHILLERATO;Entre 30 a 39;16873;17871;13552003,29;1000189,19;1095961,13;2120446,96
29/2/2024;MUJER;BACHILLERATO;Entre 40 a 49;10723;11325;10559409,34;564649,35;588538,34;1602921,08
29/2/2024;MUJER;BACHILLERATO;Entre 50 a 65;9726;10197;10320926,78;343973,74;426001,09;1505121,15
29/2/2024;MUJER;BACHILLERATO;Mayor a 65;2397;2499;2568709,17;67301,52;50445,32;355429,66
29/2/2024;MUJER;BACHILLERATO;No Definido;1;1;0;0;0;0
29/2/2024;MUJER;BASICA;;23075;24157;15977044,79;769133,43;712012,87;2781560,76
29/2/2024;MUJER;ELEMENTAL;Entre 30 a 39;1;1;419,33;0;0;0
29/2/2024;MUJER;ELEMENTAL;Entre 40 a 49;2;2;252,75;0;0;0
29/2/2024;MUJER;ELEMENTAL;Entre 50 a 65;6;7;2889,41;0;0;1000
29/2/2024;MUJER;ELEMENTAL;Mayor a 65;5;5;902,06;0;0;300
29/2/2024;MUJER;ESPECIAL;Entre 30 a 39;1;1;2232,03;0;0;420
29/2/2024;MUJER;ESPECIAL;Entre 40 a 49;12;12;13823,02;1939,97;0;7487,33
29/2/2024;MUJER;ESPECIAL;Entre 50 a 65;2;2;6020,98;0;0;4950,96
29/2/2024;MUJER;ESPECIAL;Mayor a 65;1;1;0;0;0;0
29/2/2024;MUJER;INICIAL;Entre 18 a 29;199;205;113780,42;7166,31;8363,49;18895,73
29/2/2024;MUJER;INICIAL;Entre 30 a 39;138;142;106168,69;20277,18;12403,62;15129,84
29/2/2024;MUJER;INICIAL;Entre 40 a 49;132;135;91554,24;13691,25;11317,12;6825,91
29/2/2024;MUJER;INICIAL;Entre 50 a 65;175;185;130523,07;3093,89;7850,65;25812,01
29/2/2024;MUJER;INICIAL;Mayor a 65;96;98;55126,83;6660,65;2091,01;6362,11
29/2/2024;MUJER;NINGUNA;Entre 18 a 29;2;2;59,88;0;0;0
29/2/2024;MUJER;NINGUNA;Entre 30 a 39;7;7;941,37;135,77;0;174,13
29/2/2024;MUJER;NINGUNA;Entre 40 a 49;28;29;11991,04;239,99;17;1544,8
29/2/2024;MUJER;NINGUNA;Entre 50 a 65;99;105;39374,88;2141,6;4436,12;5148,01
29/2/2024;MUJER;NINGUNA;Mayor a 65;41;42;19481,29;4650,65;5081,34;1577,15
29/2/2024;MUJER;NO DISPONIBLE;Entre 18 a 29;14;14;8732,04;400,95;1252,21;2159,48
29/2/2024;MUJER;NO DISPONIBLE;Entre 30 a 39;23;25;22280,44;0;0;3445,36
29/2/2024;MUJER;NO DISPONIBLE;Entre 40 a 49;12;14;4801,56;2324,92;6885,7;80
29/2/2024;MUJER;NO DISPONIBLE;Entre 50 a 65;17;19;37155,16;0;0;1518,22
29/2/2024;MUJER;NO DISPONIBLE;Mayor a 65;4;4;5399,12;0;0;883,21
29/2/2024;MUJER;PRIMARIA;Entre 18 a 29;4;4;0;0;0;0
29/2/2024;MUJER;PRIMARIA;Entre 30 a 39;43;44;14677,46;2852,07;1784,51;4352,29
29/2/2024;MUJER;PRIMARIA;Entre 40 a 49;39;41;18419,17;0;0;2873,84
29/2/2024;MUJER;PRIMARIA;Entre 50 a 65;49;49;30903,47;3512,16;832,86;3558,09
29/2/2024;MUJER;PRIMARIA;Mayor a 65;11;11;9322,64;338,38;0;2139,53
29/2/2024;MUJER;SECUNDARIA;Entre 18 a 29;15;15;7620,09;0;0;600,73
29/2/2024;MUJER;SECUNDARIA;Entre 30 a 39;144;151;95504,79;14125,58;6131,59;13564,73
29/2/2024;MUJER;SECUNDARIA;Entre 40 a 49;86;90;91269,33;7899,37;2369,16;13942,43
29/2/2024;MUJER;SECUNDARIA;Entre 50 a 65;100;104;96000,81;161,66;147,75;14130,05
29/2/2024;MUJER;SECUNDARIA;Mayor a 65;27;28;20908,11;4626,47;2854,33;2568,77
29/2/2024;MUJER;SUPERIOR;Entre 18 a 29;8441;8871;5640063,19;239101,1;236540,64;1116054,35
29/2/2024;MUJER;SUPERIOR;Entre 30 a 39;29775;31889;27053560,05;1202150,35;1330220,29;4432205,29
29/2/2024;MUJER;SUPERIOR;Entre 40 a 49;13832;14576;16525127,06;658543,51;798629,97;2258609,3
29/2/2024;MUJER;SUPERIOR;Entre 50 a 65;9391;9810;11071869,45;256344,77;411374,11;1550831,52
29/2/2024;MUJER;SUPERIOR;Mayor a 65;1948;2025;2357192,49;41551,7;59698,9;295562,3
29/2/2024;MUJER;SUPERIOR;No Definido;3;3;1226,89;0;0;936,81
29/2/2024;NO DISPONIBLE;NO DISPONIBLE;No Definido;39;40;243625,97;0;0;108203,95
31/3/2024;HOMBRE;BACHILLERATO;Entre 18 a 29;28238;29329;18417992,41;1316911,25;1446174,73;3365461,5
31/3/2024;HOMBRE;BACHILLERATO;Entre 30 a 39;32137;34352;27526668,55;2235232,94;2576467,3;3800068,7
31/3/2024;HOMBRE;BACHILLERATO;Entre 40 a 49;18702;19810;20641915,82;1336445,91;1570175,88;2437192,6
31/3/2024;HOMBRE;BACHILLERATO;Entre 50 a 65;13759;14464;16348936,79;603783,9;711123,05;1954116,46
31/3/2024;HOMBRE;BACHILLERATO;Mayor a 65;2398;2520;2724757,22;55188,12;46684,09;273500,29
31/3/2024;HOMBRE;BACHILLERATO;No Definido;7;7;6368,68;0;0;2261,38
31/3/2024;HOMBRE;BASICA;;34795;36375;25152735,48;1477823,34;1420790,41;3847589,39
31/3/2024;HOMBRE;ELEMENTAL;Entre 18 a 29;1;1;582,65;0;0;190
31/3/2024;HOMBRE;ELEMENTAL;Entre 40 a 49;4;4;1867,09;0;0;41,37
31/3/2024;HOMBRE;ELEMENTAL;Entre 50 a 65;2;3;0;0;0;0
31/3/2024;HOMBRE;ELEMENTAL;Mayor a 65;13;13;4533,42;0;0;1283,94
31/3/2024;HOMBRE;ESPECIAL;Entre 30 a 39;1;1;707,12;0;0;0
31/3/2024;HOMBRE;ESPECIAL;Entre 40 a 49;1;1;0;0;0;0
31/3/2024;HOMBRE;ESPECIAL;Entre 50 a 65;2;2;1787,71;0;0;551,6
31/3/2024;HOMBRE;INICIAL;Entre 18 a 29;359;362;181414,98;19657,34;15739,26;34022,14
31/3/2024;HOMBRE;INICIAL;Entre 30 a 39;220;224;174009,25;36141,97;15326,99;27295,37
31/3/2024;HOMBRE;INICIAL;Entre 40 a 49;181;184;127763,73;24901,94;25867,71;28805
31/3/2024;HOMBRE;INICIAL;Entre 50 a 65;193;201;184818,53;13975,34;9855,18;17668,67
31/3/2024;HOMBRE;INICIAL;Mayor a 65;133;136;72441,83;179,26;0;9456,77
31/3/2024;HOMBRE;NINGUNA;Entre 18 a 29;8;8;1821,3;0;0;296
31/3/2024;HOMBRE;NINGUNA;Entre 30 a 39;14;16;6986,59;0;0;2139,78
31/3/2024;HOMBRE;NINGUNA;Entre 40 a 49;25;25;16109,7;874,66;2433,09;2253,55
31/3/2024;HOMBRE;NINGUNA;Entre 50 a 65;54;55;21348,86;489,34;2341,19;3274,02
31/3/2024;HOMBRE;NINGUNA;Mayor a 65;24;24;10550,28;702,78;761,94;1208,46
31/3/2024;HOMBRE;NO DISPONIBLE;Entre 18 a 29;18;19;15187,39;0;0;2261,03
31/3/2024;HOMBRE;NO DISPONIBLE;Entre 30 a 39;27;27;20492,04;432,02;6011,82;3281,5
31/3/2024;HOMBRE;NO DISPONIBLE;Entre 40 a 49;19;22;31326,26;56,28;417,08;3187,97
31/3/2024;HOMBRE;NO DISPONIBLE;Entre 50 a 65;14;14;29678,22;0;0;11991,43
31/3/2024;HOMBRE;NO DISPONIBLE;Mayor a 65;3;3;5515,61;0;0;462,82
31/3/2024;HOMBRE;PRIMARIA;Entre 18 a 29;10;10;5508,26;0;0;1408,77
31/3/2024;HOMBRE;PRIMARIA;Entre 30 a 39;65;66;24558,57;963,43;96,18;3815,7
31/3/2024;HOMBRE;PRIMARIA;Entre 40 a 49;56;61;42235,84;916,43;973,83;5809,96
31/3/2024;HOMBRE;PRIMARIA;Entre 50 a 65;75;79;37655,92;1157,87;0;5316,78
31/3/2024;HOMBRE;PRIMARIA;Mayor a 65;20;20;19627,33;1;0;870,58
31/3/2024;HOMBRE;SECUNDARIA;Entre 18 a 29;26;28;14030,88;70,56;599,9;1112,86
31/3/2024;HOMBRE;SECUNDARIA;Entre 30 a 39;172;184;154650,11;14776,56;16847,47;22250,41
31/3/2024;HOMBRE;SECUNDARIA;Entre 40 a 49;110;117;114647,11;9519,65;7219,3;11983,89
31/3/2024;HOMBRE;SECUNDARIA;Entre 50 a 65;120;128;99935,32;2806,89;1434,57;10566,45
31/3/2024;HOMBRE;SECUNDARIA;Mayor a 65;34;35;17711,52;1924,99;0;2040,18
31/3/2024;HOMBRE;SUPERIOR;Entre 18 a 29;7556;7993;5735800,75;332643,48;412018,52;1102676,75
31/3/2024;HOMBRE;SUPERIOR;Entre 30 a 39;26034;28066;25499497,85;1407524,46;1615328,63;3899141,82
31/3/2024;HOMBRE;SUPERIOR;Entre 40 a 49;10878;11604;15700731,82;651584,05;877310,49;2042407,91
31/3/2024;HOMBRE;SUPERIOR;Entre 50 a 65;7616;7965;11375480,6;317892,23;458701,21;1356816,72
31/3/2024;HOMBRE;SUPERIOR;Mayor a 65;2706;2847;3695438,89;38895,44;63503,81;492550,32
31/3/2024;HOMBRE;SUPERIOR;No Definido;1;1;0;0;0;0
31/3/2024;MUJER;BACHILLERATO;Entre 18 a 29;15918;16553;9437937,88;672187,82;654813,93;1911280,7
31/3/2024;MUJER;BACHILLERATO;Entre 30 a 39;16730;17740;13611394;971589,76;1007615,21;2157583,65
31/3/2024;MUJER;BACHILLERATO;Entre 40 a 49;10679;11301;10752256,76;556125,06;593249,47;1740744,82
31/3/2024;MUJER;BACHILLERATO;Entre 50 a 65;9819;10316;10293995,48;353395,82;443581,55;1512653,39
31/3/2024;MUJER;BACHILLERATO;Mayor a 65;2469;2577;2597790,11;57955,69;45391,18;377777,91
31/3/2024;MUJER;BACHILLERATO;No Definido;1;1;0;0;0;0
31/3/2024;MUJER;BASICA;;23045;24156;16120987,93;787351,76;710919,41;2825434,13
31/3/2024;MUJER;ELEMENTAL;Entre 30 a 39;1;1;337,61;0;0;0
31/3/2024;MUJER;ELEMENTAL;Entre 40 a 49;2;2;184,78;0;0;0
31/3/2024;MUJER;ELEMENTAL;Entre 50 a 65;6;7;2426,91;0;0;0
31/3/2024;MUJER;ELEMENTAL;Mayor a 65;5;5;796,08;0;0;0
31/3/2024;MUJER;ESPECIAL;Entre 30 a 39;1;1;3165,96;0;0;1068
31/3/2024;MUJER;ESPECIAL;Entre 40 a 49;11;11;15367,73;180,46;0;2183,9
31/3/2024;MUJER;ESPECIAL;Entre 50 a 65;2;2;4406,83;0;0;1676,99
31/3/2024;MUJER;ESPECIAL;Mayor a 65;1;1;0;0;0;0
31/3/2024;MUJER;INICIAL;Entre 18 a 29;197;203;110914,3;7549,17;9726,5;24379,49
31/3/2024;MUJER;INICIAL;Entre 30 a 39;138;142;105194,96;15732,25;9804,26;23233,84
31/3/2024;MUJER;INICIAL;Entre 40 a 49;132;135;89719,44;14757,43;11259,11;18442,34
31/3/2024;MUJER;INICIAL;Entre 50 a 65;173;182;124475,53;3990,8;14083,31;23908,5
31/3/2024;MUJER;INICIAL;Mayor a 65;95;97;56400,48;6588,29;532,24;7749,24
31/3/2024;MUJER;NINGUNA;Entre 18 a 29;2;2;59,88;0;0;0
31/3/2024;MUJER;NINGUNA;Entre 30 a 39;7;7;913,64;133,85;0;36,56
31/3/2024;MUJER;NINGUNA;Entre 40 a 49;25;26;10402,55;238,03;22;925,99
31/3/2024;MUJER;NINGUNA;Entre 50 a 65;99;105;42484,78;494,07;834,03;8189,44
31/3/2024;MUJER;NINGUNA;Mayor a 65;41;42;19778,47;3598,01;1217,39;3405
31/3/2024;MUJER;NO DISPONIBLE;Entre 18 a 29;13;13;8600,07;393,29;491,85;1028,17
31/3/2024;MUJER;NO DISPONIBLE;Entre 30 a 39;24;26;19991,05;0;0;1311,26
31/3/2024;MUJER;NO DISPONIBLE;Entre 40 a 49;12;14;4442,61;2508,59;6702,03;70
31/3/2024;MUJER;NO DISPONIBLE;Entre 50 a 65;17;19;36454,31;0;0;1752,49
31/3/2024;MUJER;NO DISPONIBLE;Mayor a 65;3;3;5940,39;0;0;1205,51
31/3/2024;MUJER;PRIMARIA;Entre 18 a 29;3;3;0;0;0;0
31/3/2024;MUJER;PRIMARIA;Entre 30 a 39;44;45;15843,64;2884,02;1752,56;3357,82
31/3/2024;MUJER;PRIMARIA;Entre 40 a 49;41;43;17006,67;0;0;1211,73
31/3/2024;MUJER;PRIMARIA;Entre 50 a 65;48;48;33164,04;3028,66;822,38;7338,38
31/3/2024;MUJER;PRIMARIA;Mayor a 65;12;12;7682,19;43,58;0;586,28
31/3/2024;MUJER;SECUNDARIA;Entre 18 a 29;15;15;7629,38;0;0;858,81
